PlayerID,,,,,,Popular Stats,,,,,,,,,Additional Stats,,,,,,,
,Player,Team,Pos,G,Min,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,OREB,DREB,3PA,3P%,FGM,FGA,FTM,FTA
330,Odyssey Sims,LAS,G,12,29.5,9.8,2.9,3.5,0.8,0.1,1.0,41.7,76.5,1.4,0.5,2.4,2.8,35.3,3.3,8.0,2.2,2.8
1016,Maddy Westbeld,CHI,F,26,13.6,4.1,2.4,0.9,0.5,0.3,0.7,36.2,87.5,0.6,0.8,1.6,1.7,39.5,1.5,4.0,0.5,0.6
982,Sarah Ashlee Barker,LAS,G,34,14.1,3.1,1.9,0.9,0.3,0.1,0.5,33.7,70.8,1.1,0.3,1.6,1.8,29.5,1.0,3.1,0.5,0.7
1015,Hailey Van Lith,CHI,G,29,12.4,3.5,1.1,1.6,0.4,0.1,0.2,33.9,74.2,1.2,0.1,0.9,1.1,16.1,1.3,3.8,0.8,1.1
853,Diamond Miller,MIN,F,25,9.7,4.1,0.9,0.6,0.3,0.2,0.6,47.6,84.8,0.8,0.2,0.7,1.0,53.8,1.2,2.5,1.1,1.3
912,Cameron Brink,LAS,F,19,12.8,5.1,4.3,0.5,0.5,1.4,0.5,42.7,76.2,1.3,1.4,2.9,1.8,29.4,1.8,4.3,0.8,1.1
678,DiJonai Carrington,MIN,G,11,16.6,8.6,2.1,1.1,1.2,0.4,0.9,48.5,76.0,0.9,0.6,1.5,2.0,45.5,3.0,6.2,1.7,2.3
572,Teaira McCowan,DAL,C,17,12.9,5.6,4.6,0.6,0.3,0.7,0.1,53.7,75.9,0.9,1.8,2.8,0.1,50.0,2.1,3.9,1.3,1.7
431,Alysha Clark,SEA,F,27,18.0,3.5,2.4,1.0,0.7,0.1,0.6,37.8,84.6,0.6,0.3,2.0,2.0,29.1,1.3,3.3,0.4,0.5
398,Emma Cannon,LAS,F,21,10.1,4.4,1.8,0.4,0.5,0.0,0.7,50.8,65.2,0.8,0.5,1.3,1.7,38.9,1.5,3.0,0.7,1.1
789,Nyara Sabally,NYL,C,17,17.9,5.4,4.5,0.8,0.5,1.0,0.1,48.7,68.0,0.9,1.6,2.9,0.4,14.3,2.2,4.5,1.0,1.5
663,Kaila Charles,DAL,G,17,15.8,5.3,4.0,1.1,0.5,0.2,0.6,36.3,81.5,0.9,1.5,2.5,1.8,33.3,1.7,4.7,1.3,1.6
863,Zia Cooke,SEA,G,26,10.0,3.5,0.5,0.5,0.4,0.0,0.6,35.7,65.2,0.8,0.2,0.3,1.5,39.5,1.2,3.2,0.6,0.9
770,Amy Okonkwo,DAL,F,8,19.6,11.0,3.1,0.8,1.4,0.1,1.3,49.2,90.0,0.9,0.9,2.3,3.8,33.3,3.8,7.6,2.3,2.5
